id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,poster_path,backdrop_path,recommendations
889737,Joker: Folie à Deux,Drama-Crime-Thriller,en,While struggling with his dual identity Arthur Fleck not only stumbles upon true love but also finds the music that's always been inside him.,129.457,Warner Bros. Pictures-Joint Effort-Domain Entertainment,2024-09-30,150000000.0,0.0,138.0,Released,The world is a stage.,0.0,0.0,Joaquin Phoenix-Lady Gaga-Brendan Gleeson-Catherine Keener-Zazie Beetz-Steve Coogan-Harry Lawtey-Leigh Gill-Ken Leung-Jacob Lofland-Sharon Washington-Troy Fromin-Bill Smitrovich-John Lacy-Gattlin Griffith-Tim Dillon-Mike Houston-G.L. McQueary-Jimmy Smagula-Brian Donahue-Alfred Rubin Thompson-Robert Loftus-Carson Higgins-Ben van Diepen-Heather Cowles,villain-musical-based on comic-sequel-jukebox musical,/byDXrm0pY6vSKIKyuKWK5vWz62G.jpg,/xx0VTrtvoRptaY3unl61Ecft8MI.jpg,
949709,High Forces,Action-Crime,zh,"""Anyone? There is ......"" A mysterious message from Gao Haojun comes from ten thousand meters in the air. A five-star A380 ultra-luxury airliner was hijacked on its international maiden voyage and international security expert Gao Haojun stood up to a group of thugs his daughter Xiaojun was trapped in the cabin and Mike the leader of the hijackers threatened the lives of more than 800 people in the plane as a bargaining chip and Xiaojun's mother Fu Yuan was also in danger. ...... Will the passengers on board be able to land safely and how should this crisis be resolved?",27.267,寰宇娱乐有限公司-Tianjin Maoyan Weiying Culture Media-广州市英明文化传播有限公司-Tao Piao Piao-华文映像影视传媒有限公司-Weibo Corporation,2024-09-30,0.0,0.0,115.0,Released,Skyrocketing Heartbeat,0.0,0.0,Andy Lau Tak-Wah-Zhang Zifeng-Qu Chuxiao-Liu Tao-Guo Xiaodong-Jiang Mengjie-David Wang-Jiang Chao-Wang Longzheng-Zhang Yang-Zhang Yao-Eric Chou-Bai Ge-Gao Shuguang-Li Bin-Liu Zhibing-Junyu Sheng-Yu Jie Ping-Ni Kexin-Cheng Tao-Zheng Zhongyu-Ning Xiaohua-Zhong Lei,灾难,/1uqQH2n7TE8bpbdpaOcxpHH84C4.jpg,,
732855,Becoming a Man in 127 Easy Steps,,en,While transgender men are rarely visible in the cultural imagination amid tropes of transition and turmoil the filmed interpretation of Scott Turner Schofield’s live work of the same name generated 127 pieces of short content (Steps) that deeply explore themes such as childhood masculinity love sex death and survival.,0.001,,2024-09-28,0.0,0.0,61.0,Released,,0.0,0.0,,,/k5NRILBsMO6BREhTW8fiXKfV8QV.jpg,,
604685,Den of Thieves 2: Pantera,Action-Drama-Crime,en,Big Nick is on the hunt in Europe for Donnie who is embroiled in the dangerous world of diamond thieves and the infamous Panther mafia as they plot a massive heist of the world’s biggest diamond exchange.,13.134,Atmosphere Entertainment MM-Diamond Film Productions-G-BASE-Entertainment One-Tucker Tooley Entertainment,2024-09-27,0.0,0.0,0.0,Post Production,,0.0,0.0,Gerard Butler-O'Shea Jackson Jr.-Meadow Williams-Jordan Bridges-Evin Ahmad-Swen Temmel-Bob Jennings-Michael Bisping-Salvatore Esposito-Orli Shuka-Cristian Solimeno-Nazmiye Oral-Yasen Zates Atour-Giuseppe Schillaci-Dino Kelly-Rico Verhoeven-Velibor Topic-Antonio Bustorff-Yuri D. Brown-Birol Tarkan Yıldız-John West Jr-Ciryl Gane-Mark Grosy-Ignacio Herráez-Stéphane Coulon,,,,
807222,"Love, Sitara",Drama,hi,Tara and Arjun travel to her hometown to work on their relationship before marriage. What happens when her family starts sharing their darkest secrets?,9.049,RSVP Movies,2024-09-27,0.0,0.0,0.0,Released,,0.0,0.0,Sobhita Dhulipala-Rajeev Siddhartha-Sonali Kulkarni-Virginia Rodriguez-Jayashree B.-Rijul Ray-Tamara D'Souza-Ikhlaque Khan,,/xwOKKJYlxRK0jIbjWCCJ5aeADrA.jpg,/wfkweqiA4IrWJkZIx8pQ7kRiEFw.jpg,
933835,Cup,Drama-Family,ml,The story of a sixteen-year-old boy a badminton player from a village named Vellathooval in Idukki who dreams of the Olympics.,8.84,Ananya Films,2024-09-27,0.0,0.0,0.0,Released,Love all play,0.0,0.0,Mathew Thomas-Basil Joseph-Guru Somasundaram-Namitha Pramod-Anand Roshan-Riya Shibu-Anikha Surendran,,/hYV50JZ0PtQZWInMxCn3Rm5D4UA.jpg,,
717787,Your Letter,Animation-Drama-Mystery-Adventure,ko,Sori Lee is hoping for a fresh start at her new school―which is easier said than done when every single thing reminds her of why she transferred. As luck would have it an anonymous letter taped to the bottom of her desk provides a perfect distraction. Little does Sori know that she’s about to embark on the scavenger hunt of a lifetime! What starts off as simple curiosity becomes a healing journey as Sori discovers just how far a small act of kindness can go.,0.001,Studio N,2024-09-27,0.0,0.0,97.0,Released,,0.0,0.0,Lee Soo-hyun-Kim Min-ju-Min Seungwoo-Nam Doh-hyeong,bullying-slice of life-school life,,/thsAU92Ei2Nbm38ZdkvHI8xLaSc.jpg,
811941,Devara : Part 1,Action-Drama,te,Devara a fearless man from a coastal region embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. Unbeknownst to him his brother Bhaira is plotting a conspiracy against him. As events unfold Devara passes on his legacy to his mild-mannered and timid son Varada.,137.939,N. T. R. Arts-Yuvasudha Arts,2024-09-26,36500000.0,0.0,175.0,Released,WHEN COURAGE TURNS INTO A DISEASE... FEAR IS THE ONLY CURE,0.0,0.0,N.T. Rama Rao Jr.-Saif Ali Khan-Janhvi Kapoor-Shruti Marathe-Zarina Wahab-Prakash Raj-Srikanth-Ajay-Shine Tom Chacko-Narain-Kalaiyarasan-Murali Sharma-Abhimanyu Singh-Tarak Ponnappa-P. Ravi Shankar,sea-ship-red sea-boat-fear-battle-swords-ships-violence-boats,/u46N3WC11mR5vAFPcVbHg7WK05f.jpg,/hAQnXxOwCjgYcKRgTdYPRC8neqL.jpg,927326-3109-802673-1058261-44018-866741-20343-112-38387-11030-346757-1098152-245700-1812-263475-10435-15734-1107343-1099088-1039274
592831,Megalopolis,Drama-Science Fiction,en,An architect wants to rebuild New York City as a utopia following a devastating disaster.,21.906,American Zoetrope,2024-09-25,120000000.0,0.0,138.0,Released,,0.0,0.0,Adam Driver-Nathalie Emmanuel-Giancarlo Esposito-Aubrey Plaza-Shia LaBeouf-Laurence Fishburne-Talia Shire-Jon Voight-Jason Schwartzman-Dustin Hoffman-Grace VanderWaal-Kathryn Hunter-James Remar-Chloe Fineman-Isabelle Kusman-D.B. Sweeney-Bailey Ives-Adams Bellouis-Haley Sims-Madeleine Gardella-Donald Pitts-Art Newkirk-Rachel Wolf,new york city-architect-utopia-after disaster,/m0BJiPZs5iWzbJWe2uRNotZpKOk.jpg,/5BgWHEZCWqyabjNwEmauJwLp2wG.jpg,
777648,FRONTLINE’s The Choice: VP,,en,,11.002,GBH,2024-09-24,0.0,0.0,60.0,Released,,0.0,0.0,Will Lyman,,/hi7Hk9XOhcjInzVr0RTd8fADAmT.jpg,,
